Date,Username,Komen,Label
8/7/2022 15:58,미래를 밝게 비추다,"@chitaglorya__ Kalau dapat mau beli makanan kucing sudah habis, sama ongkos mau ke Jakarta untuk vaksin booster Aamiin",1
8/7/2022 16:01,Putri,"@dontfollow__mee @kindaheavenn @bigichanxxx @jogjamnfs Pdhl bagus loh kampusnya kmrn aku numpang vaksin booster disana dan keliling2 gitu, taman-tamannya cakep",1
8/7/2022 16:11,ella,sakitin aja gapapa aku udah vaksin 2x plus booster hehe,1
8/7/2022 16:12,sadid,tangan abis vaksin booster mlh bengkak,1
8/7/2022 16:13,Intanaa💜,Aaa besok mau vaksin booster. Semoga antriannya gak banyak biar cepet.,1
8/7/2022 16:22,نورعتيقة عزيقة,RT @RimauXI: Harapan untuk para pengundi: * Jangan lupa COVID-19 masih ada * Antibody menurun selepas vaksin * Ramai yang tak ambil booster,1
8/7/2022 16:24,Jack,@woodyforlaxx booster pake Astra Zeneca ga ada respon apa2 aku selama 3x vaksin.,1
8/7/2022 16:27,𝓒𝓱𝓮𝓻𝓻𝔂 𝓹𝓲𝓮🍒,@woodyforlaxx Aku booster pfizer masyaallah tabarokallah habis vaksin pegel terus malamnya tangan sakit kalau dilurusin hari ketiga baru mendingan,1
8/7/2022 16:27,sasa •ᴗ•🍥 ptd 😽,hei omg gue lupa bsk vaksin booster aaaa malesss,1
8/7/2022 16:28,Sara 🪬,Apakah vaksin booster astra mengakibatkan mual dan muntah?,1
8/7/2022 16:30,yoon,BARU SADAR GUE BELOM VAKSIN BOOSTER wkwk tp gamau vaksin di bekasi,1
8/7/2022 16:32,Kazumi Alisa,"Badan gemetar, kayaknya gegara efek booster vaksin kemarin. Tidur dulu deh. ",1
8/7/2022 16:32,irene,Vaksin booster mantep bgt efeknya woi :( baru berasa bgt,1
8/7/2022 16:33,tin👉👈,"@huangzzna Jgn nakutin gitu ih, besok w vaksin booster",1
8/7/2022 16:34,nananinuw,selamat tidur jangan lupa vaksin booster,1
8/7/2022 16:36,anisya🐥,Meriang banget badan gue efek vaksin booster huhu,0
8/7/2022 16:39,E!,"abis vaksin booster, puji Tuhan ngga demam tp pegel2 and sakit punggung.",0
8/7/2022 16:39,hannah,Ini daftar vaksin booster gampang amat kaya beli cilok Langsung dapet besok pagi pula ,1
8/7/2022 16:42,klea,"@tcyzie booster tuh vaksin yang ke 3, namanya beda beda",1
8/7/2022 16:52,eri⁷ kinda ia (collage)📚,Abis vaksin booster trus nyeri otot gue kompres ga mempan sakit banget :(( https://t.co/J9Y0TQeWzm,1
8/7/2022 16:53,Jacques Manon,"Kuat kuat bener orang vaksin AZ dari awal ya, gue nyicipin booster langsung klenger gini.",1
8/7/2022 17:02,Endah,Abis vaksin booster badan pegel semua wkwk,0
8/7/2022 17:09,Slave of Allah,"@KKMPutrajaya menipu angka golongan tidak menerima vaksin yg mati sebab Covid19, demi nak mempromosikan vaksin booster. Babi yg haram pun sekarang lebih mulia dari doktor-doktor KKM laknatullah. https://t.co/4hZj8YkMmo",0
8/7/2022 17:11,Rabita,"Abis vaksin booster, badan sakt semuaaa ",0
8/7/2022 17:15,An,Ini kayanya efek vaksin booster gue tbtb melow,1
8/7/2022 17:19,nadoy~,"gabisa tidur gara gara vaksin booster sakit bgt woi mana demam, guling ke kiri dikit ngilu",0
8/7/2022 17:21,sya💎,@annisandoo vaksin lagi aja ndo wakakkak gue sih rencananya gt itung itung booster ke2;)))))),1
8/7/2022 17:46,La La La,"*nganterin adek keket booster vaksin* : bu, kk nya dibawa ga? : kakaknya lg sekolah atuh bu tu di smp 5 : .. : ..",1
8/7/2022 17:54,BukanBian,"efek vaksin booster ketiga pake astrazeneca emg bener-bener luar biasa. setelah vaksin biasa aja pas mau tidur baru kerasa pusing panas dingin, tengah malem menggigil hebat, demam, badan linu luar biasa terutama lengan bekas suntik.",0
8/7/2022 17:55,jean,@urniacinamide Kok ngeri huhu. Tp syarat e dolan saiki do vaksin booster ,1
8/8/2022 12:48,manda,gue abis booster kok gakerasa apa2 ya beda sama yg vaksin 2 klo itu udahnya rada kerasa,1
8/8/2022 13:10,Kamaboko Gonpachiro,Hari Sabtu abis triceps day hari Seninnya vaksin booster. omg dobel nyerinya,1
8/8/2022 13:16,⚫🌹 | 📌 The Rose Event 7 Aug 2022,Maju lo the rose udah vaksin booster gue,1
8/8/2022 13:31,dita,Tp maksudnya ya ga pesen gocar jg lho paling gak gocar XL extra protect sudah vaksin booster,1
8/8/2022 13:48,Marchi,Habis makan bakso dengan kerupuk mie gede dan sekarang bengong krn kekenyangan. Gapapalah kan habis vaksin booster butuh tenaga ekstra  #selaluadalasanuntukmakan,1
8/8/2022 13:51,.,info vaksin booster yg 17 tahun boleh,1
8/8/2022 13:53,kik,"tadi vaksin booster kan terus kan di lengan kiri ada tanda lahirnya tapi putih kan BISA BISANYA YG NYUNTIK BILANG ""ini bukan sakit kan mba? kaya buras gitu?"" sambil digaruk2 gue kaya yg langsung HAH??? BUTA MATA LO?????? ",0
8/8/2022 13:53,Rizky,@Tama_Pamungkass Tadi aku booster juga di tebet di rsud pfizer tinggal naik ke lantai empat ke umum kasih ktp udah bisa vaksin,1
8/8/2022 13:57,arin💫,Pas vaksin 1 sama 2 sama sekali ga ada efek sekarang vaksin booster malah bersin pilek badan sebelah kiri lemes :(( takut besok demam dehh,0
8/8/2022 13:59,rara²²,@usu_fess buat maba aja itu kak yg ada vaksin booster dari usu,1
8/8/2022 14:05,veliaa.,vaksin kali ini berasa bgt efeknya huhu padahal pas 1 sama 2 gpp giliran booster badan gue beneran ngilu + kepala gue pusing bgt mana tadi siang dikantor meriang,0
8/8/2022 14:14,ferdy,Dari vaksin 2 ke booster bener bener pas setaun jaraknya wkwk,1
8/8/2022 14:15,first child,fakk sangat sakit tangan aku krn vaksin booster,0
8/8/2022 14:15,kipasangin,Min @KAI121 untuk ikut vaksin booster di stasiun apakah perlu punya tiket kereta jarak jauh atau bisa umum? Terima kasih,1
8/8/2022 14:17,Fara 🦁,@yaaaxy_ Wii asik dah booster aku juga udah. Td vaksinnya pake vaksin apa ya?,1
8/8/2022 14:19,def IISMA’23 awardee,buset badan rasanya ga karuan grgr vaksin booster+haid day 1,1
8/8/2022 14:20,lizzy,@undipmenfess Minimal vaksin 2 kali tapi lebih enak booster bebas kemana mana ,0
8/8/2022 14:22,I Don’t Eat Meat,RT @aan__: Yok pada booster biar imun kita makin bagus & si virus jadi gagal ngeinfeksi kalo imun kita oke. Masa kalah sama abang Grab ,1
8/8/2022 14:26,🌬 Salchuu ✱⁶,@rndyy_y Wkwk. Ya mau gimana lagi anggap aja minum vaksin booster https://t.co/EJDUS5gYT6,1
8/8/2022 14:28,sonsistem itu berat,Sejak kemunculannya 3 tahun berjalan vaksinasi pun sudah & terus dilaksanakan berbooster-booster.  Imunitas alami dari penyintas & imunitas artifisial dari vaksin harusnya sudah terbentuk. Masih bicara kena covid ?  Jangan memenjara diri dg masalah yg sudah ditangani. Move on https://t.co/effobQxTyk,1
8/8/2022 14:30,Tsabitha Oktavia,gabisa offline karena belum di vaksin booster its a thing,1
8/8/2022 14:41,nab ఇ ◝‿◜ ఇ,syaratnya dibuat sedemikian rupa terserah gmn (mungkin min vaksin booster yg hadir wisudawan doang ga sama keluarga yg punya komorbid gak diperkenankan hadir) msh ada waktu sebulan w doain offline,1
8/8/2022 14:43,panggil aja lia,Ini gmn si sertifikat vaksin dosis 3 ga masuk. Pdhl bsk mau booster 2 hua hua hua hua,1
8/8/2022 15:10,💭, aku mau ada interview syaratnya udh vaksin booster tp aku 18 tahunnya masih 2 minggu lg mau vaksin brrti blm bisa ya? ,1
8/8/2022 15:11,Tintus Gustamal,@txtdaritng jumat kemaren sama temen ke lippo puri doi belom booster pas scan gbs tapi tunjukin udh 2 vaksin ke security nya dibolehin masuk,1
8/9/2022 10:10,Taeyong my babyyy! 🧏🏻‍♀️,nyesel ga vaksin booster dari kemarin kemarin ,1
8/9/2022 10:11,ًً,@saikooro mjb karena tempatnya standing dan peraturan di situ bilang harus vaksin booster sedangkan aku belum memenuhi usia untuk vaksin :(,1
8/9/2022 10:16,Lut,@fxnxfx Efeknya emang telat fin booster lebih berasa asoynya dari vaksin biasa,1
8/9/2022 10:16,Debs𖧷,Managemen tmpt gue kocak bet. Disuruh bimbingan akre tgl 9-11 tp disuruh booster ke2 di tgl yg sama. Udh tau vaksin ada kipi klo pas mo bimbingan pd sakit bgimane. Pdhl dokter smua tp ga mikir heran gue,1
8/9/2022 10:22,_caca 🐯 ⑰,Kakak aku yg apoteker di vaksin booster 2 alias vaksin ke 4. Apakah nanti kita juga akan ada vaksin ke 4? https://t.co/5Q2M9OGrQd,1
8/9/2022 10:25,Edi Setiawan,RT @EdiSeti50033426: Ini kalo vaksin boster yg udah expired bahaya gk sih duh kacau nih aturan mau naik kereta hrus booster. Takut aku tu,0
8/9/2022 10:25,putri ashary,Vaksin booster 2 nya lumayan ngefek ke ngantuk ,1
8/9/2022 10:30,convomf, wta dong aku pengen booster tp blm muncul e-ticket pdhl vaksin kedua tuh September thn lalu aku jg Juni kmrn udh 18 thn. Itu gmn ya? emg blm blh booster apa gmn ada yg tau? Tia!,1
8/9/2022 10:31,feriska widya mahardika,"hari ini vaksin booster sakit sekali di tambah hari ini diriku putus, tangan rasanya seperti di amputasi hiksrot tapi takpe aku akan strong karna besok masih ada hari ngeselin lainnya https://t.co/ikXJTqZNsI",0
8/9/2022 10:35,yas ◠‿◠,@convomf itu sertifnya harus keluar dulu kyknya cb km hubungin cp yg tmpt kamu vaksin ke2 dulu atau ga ttp aja dtg ke tmpt booster biasanya mereka udh kyk ada catetannya gt klo km emg udh vaksin ke 2,1
8/9/2022 10:39,Judith 🐢🐢🐢,yang belum vaksin booster . yuk vaksin yuk https://t.co/4HOSR58inZ,1
8/9/2022 10:42,bibibibib,@wh0szee sepertinya yg belum booster boleh ikut asal sehat kata bapaknya begitu kan pas live tadi mungkin bisa diisi suket sehat atau sertif vaksin 1&2,1
8/9/2022 10:49,Fahay VS Netizen,sumpah vaksin booster bikin meriang,0
8/9/2022 10:51,⟭⟬ KINDA IA~ ᴮᵀˢ ⟭⟬,Eh kalian yang belum vaksin booster tapi udah pernah vaksin kedua coba deh cek apk peduli lindungi kalian disana kalian udah dapet sertifikat booster pertama ternyata ^^ mau bingung tapi beneran dapet ,1
8/9/2022 10:52,ra 🐳,@seungpickyoun vaksin ke 4 tuh namanya apaa? booster ke 3 ya,1
8/9/2022 11:08,key,@reveuriez aku belum vaksin kak baru mau rencana booster hehe,1
8/9/2022 11:09,☾,memilih untuk gak ngelist vaksin booster kedua kecuali dikasih libur antisipasi KIPI. kapok banget efek moderna PCT/4jam beberapa kali. klenger ~,1
8/9/2022 11:10,D M,Paling benci kalau udah vaksin booster itu kipi.,1
8/9/2022 11:13,Unpdfess (Discord di Bio),- maba yg udah 18th tapi blm booster ngacung pengen prabu offline boleh gasih sertifnya yg vaksin kedua aja?,1
8/9/2022 11:16,Malais,Done vaksin booster Lanjut perjalanan mencari kitab suci ke barat ,1
8/9/2022 11:16,nisaaa,@alamakcomel_ vaksin 12 ku kan moderna ak dtgin tmpt yg ada booster tp ditolakin hrs moderna jg,1
8/9/2022 11:29,ceca!!! 🧸,@niziumayuka aku belum booster tapi vaksin 1 2nya pfizer agak demam 2 hari sama pegel seminggu tapi aku emang orangnya lemah,0
8/9/2022 11:40,suaminyawinter #FOREVER1 08.08,Nonton konser itu yang penting punya tiket punya kartu identitas dan udah vaksin booster. https://t.co/LFWcqdbyiw,1
8/9/2022 11:49,Rani,Ini nanti kalo ada vaksin booster ke-5 fix sih gue jadi titan,1
8/9/2022 11:53,jeje,sedih amat udh sampe kokas tp gak boleh masuk krn blm vaksin booster ,1
8/9/2022 12:04,Bila,Guys jangan lupa juga buat vaksin booster yaa!,1
8/9/2022 12:07,Susanto Suryo Kusumo,@restrobkskota Yang Demo sudah vaksin booster semua kah? Kok ada yang engga pakai masker. Oke pas dibagikan minuman maskernya ada di dagu biar masuk ke video. Tapi pas yang kesorot ini kan maskernya ada yang tidak taro di dagu. Apakah boleh berkerumun tan,1
8/9/2022 12:17,kembalian indomaret,Harus vaksin booster banget ini fren,1
8/9/2022 12:22,Sullivan,@avyan_na Wajibb sekarang kemana2 wajib booster (vaksin 3),1
8/9/2022 12:27,Muginami,@zikeenmaze Wkwk ambil booster apa emang? Jgn lupa banyak makan sih sebenernya kalau vaksin tuh,1
8/9/2022 12:28,vobovobo,soalnya aku pilih section yang standing tapi blm vaksin booster karena maish di bawah umurr,1
8/9/2022 12:36,jingga✧ﾟ,besok ingetin ya ak mau vaksin booster,1
8/9/2022 12:46,coco,@IKEA_Ind @takutsusah hai kak kalau sudah vaksin booster tapi sertifikat nya belum keluar apa tetap boleh masuk?,1
8/9/2022 12:46,BES PEMELI PRENLI (TRUMIN),Jog jd yg bener vaksin covid itu ada berapa x? Kok aku sering lihat story temenku pada booster (yg ke 4x) ya,1
8/9/2022 12:48,Liiiii,@Lexxyyy901 Pinter sekali aku emg dah vaksin booster sampe 3,1
8/9/2022 12:52,m.fillah,Kemaren waktu tugas aksi kita bingung mau pilih apa eh inget lagi ada vaksinasi booster di puskesmas. Jadi inisiatif sih selain bisa selesaiin tugas juga bisa bantu petugas vaksin puskesmas. Tapi inget ya aku disini engga bantu nyuntik takutnya malah jadi malpraktek  ,1
8/9/2022 12:52,it's Me,Mau vaksin booster ke 2 trauma sama kipinya tapi lebih trauma lagi waktu kena covid 2x,1
8/9/2022 13:12,gitaaf,Hasil vaksin booster 2 day 2: pegel sakit kepala lapar dan rindu,1
8/9/2022 13:13,crying over photoshoots,RT @van2fabiola: Peraturan nonton konser: 1. Vaksin booster ges,1
8/9/2022 13:21,feii | manifesting bets pink sc 🙏,@jjtenonas underage boleh ga sih standing yg penting udh vaksin 2x? kemarin aku ada tanya ke tiketdotcom ktnya ga ada larangan usia yg penting under 18 udh vaksin 2x and 18+ udh vaksin booster,1
8/9/2022 13:24,🍰Arra Double eR🍰 #Jember 11/8,Kayaknya baru bgt kemarin Aku rencana mau vaksin booster aja belum kesampaian tapi uda mau di vaksin lagi di #Jember https://t.co/zcAD8C2IBW https://t.co/gF4k4px7BU,1
8/9/2022 13:29,ezra,@ouatmilk woalah. kalo aku tadi mau vaksin booster tapi kesiangan jadi ga kebagian tiket antrean ,1
8/9/2022 13:36,Lina.,kalo vaksin booster yg pertama kmrn ngefek di aku-nya cm bengkak dan kemerahan aja di area yg disuntik. sampe bbrp hari. alhamdulillah gak ada demam atau diare gitu2. aku dpt moderna yaa btw.  semoga booster yg kedua ini lebih less drama ,1
8/9/2022 13:40,Mong👑,@Maiblebee udah ada booster ke 2 njir. tapi ya balik lagi kalo ga kemana mana ngapain vaksin lagi yg penting udah dua dosis awal gasih?,1
8/9/2022 13:46,𝐚𝐬𝐡𝐞𝐥,@wenrayia vaksin booster apa udah 2nd booster nih rayi?,1
8/9/2022 13:47,act: fahrana ✘⁷⁺⁵,sebenernya gampang sih tinggal vaksin tapi katanya sakit banget efeknya si booster ini ,1
8/9/2022 13:54,💙 Everlasting Friends 💙,@curcolsuju Ga ada nder. Vaksin keduaku bulan september 2021. Baru kemarin akhir juli booster,1
8/9/2022 13:55,GlambertELF,@curcolsuju 18+ harus booster. Demi melindungi diri kalian juga melindungi penonton lain dan pastinya melindungi Super Junior! Yg punya tdk vaksin krn komorbid hrs ada surat pernyataan dokter,1
8/9/2022 13:55,Juju⁷|ᴱᴺ⁻⚔️,Ini gue mesti ngisi form buat pmb offline deadline tgl 12 tp harus udh vaksin booster sedangkan booster buat yg 18 tahun ke atas. Nah gue 18 tahunnya tgl 16 masalahnya KAGOK BANGET JADI KUMAHA ANJIRRR,1
8/9/2022 14:24,Rylnyaa,Singkat cerita setelah mengurus akomodasi penginapan vaksin booster dan cuti kerja kami pun dengan sangat percaya diri akan menonton konser itu dengan lancar dan menikmati liburan kami di Jakarta. btw kami berasal dari Malang.,1
8/9/2022 14:24,kanigara,Duhh semangat adek kakjil sayang besok kita vaksin booster. Sebelum pulang jan lupa adek kakjil cari makan dulu sayang ya biar ga repot lagi nanti adek kakjil kalo lapar,1
8/9/2022 14:30,❍ 윈터,@gciselIe gak takut aku abis vaksin booster. https://t.co/QA7zPGkJ8K,1
8/9/2022 14:31,ᴡᴀʏʏ • open gestun spaylater gopaylater hci •,@kerotbundeul Td ada yg nanya katanya booster itu wajib buat yg diatas 18 tahun kalau dibawah itu tuh yg penting udah vaksin sampe 2 aja,1
8/9/2022 14:31,via 🐬,@starfess diatas 18 booster dibawah itu vaksin 2,1
8/9/2022 14:41,𝐤𝐞𝐞𝐩 𝐜𝐚𝐥𝐦,Meriang gara2 vaksin booster,0
8/9/2022 14:44,opiipio,Anjir pusing abis vaksin booster 2,0
8/9/2022 14:48,I'm girl,Ini kenapa abis di vaksin booster tangan sakit banget sih,0
8/9/2022 14:53,Angli Apriyani🍒,(Day 1 MPKMB 59 SV IPB) Ini sebenarnya aku lagi ga enak badan tapi alhamdulillah aku udah vaksin booster dan ini ga jadi masalah/halangan untuk bisa mengikuti MPKMB kaka-kaka Panitia nya juga pada baik dan care alhamdulillah Terima kasih kak. #VOKASIIMPACT #MPKMB59SVIPB https://t.co/3SKhPs4erQ,1
8/9/2022 14:55,bee,efek vaksin booster tangan lengan sebelah kiri gabisa gerak alias nyeri bgt cok,0
8/9/2022 14:56,Ojol Tim Huru Hara,Dari sebelum Maghrib tangan kiri pegel sampai sekarang. Makin kerasa pegelnya. Disuntik booster di kiri sama waktu 2 vaksin sebelumnya. Tapi 2 vaksin sebelumnya gak sepegel ini gak lama juga. https://t.co/onKhTcHeWX,0
8/9/2022 15:07,SatuPintu Gratis Ongkir📌,kartu vaksin buat syarat booster boleh pake yang di peduli lindungi ga yaa?,1
8/9/2022 15:07,#IstanaDikuasaiMafia,RT @JantunGPiisanG: Booster vaksin itu sifatnya suka rela dan atas dasar kesadaran sendiri..silahkan yang mau booster dan jangan juga memaksa,1
8/9/2022 15:12,alffhasna_,vaksin booster sakitnya gak maen2,1
8/9/2022 15:19,*˚✦ 𝐜𝐡𝐢𝐚 ❁ *,@vmiwon sepahamku setelah vaksin lengkap sesuai umur gapapa sepahamku ya karena yg ada tulisan wajib booster cuma yg 18+,1
8/9/2022 15:30,🐣🍑,Nasib menjadi nakes selalu menjadi uji coba vaksin. Abis booster 2 langsung kerja rodi,1
8/9/2022 15:31,Yousee,Soundproject ribet bgt dah peraturannya ganti vaksin booster ngehe,1
8/9/2022 15:33,Sichildish,abis vaksin booster emang gini? lengannya sakit?,0
8/9/2022 15:52,Liam G,Friends disini ada yg belum vaksin booster 3? Kendalanya dimana kalau belum?,1
8/9/2022 15:55,Fajar kurniawan,halo @KAI121 mau tanya untuk kereta ekonomi jurusan pwt - lpn apa benar tidak perlu vaksin booster ? hanya vaksin kedua saja? tolong dibalas thanks,1
8/9/2022 16:09,JoJo 💙🦊💜,MEMBAHAGIAKAN DIRI MALAM INI KARENA BESOK PAGI MAU VAKSIN BOOSTER KE 2 ,1
8/9/2022 16:18,super straight and proud 🇮🇩🇹🇼,Keliatannya cakupan vaksin booster di Indonesia masih cukup mandeg meskipun udah digalakkan dimana mana gue harap pemerintah bisa segera nyerah,1
8/9/2022 16:23,Aw,@DraftAnakUnpad Tp pasti boleh apa ngga nya aku krg tau hehe. Soalnya tiap vaksin dari vaksin 1 smpe booster badan ak kek slalu krg vit gt hehe dan Alhamdulillah nya ngefek ya yg ringan ajasi,1
8/9/2022 16:25,naura,kalian udah ada yang vaksin booster ke 3? Mau tau dong efek di kalian kayak apa,1
8/9/2022 16:26,encun,Abis vaksin booster 3. Dah siap paracetamol. Gataunya si kipi kalah sm rumitnya isi kepala,1
8/9/2022 16:26,Fajar kurniawan,Purwokerto info yang ada vaksin booster dong urgent thanks,1
8/9/2022 16:28,elsa,@sbyfess kipi mari booster lumayan iki nder. tp gpp. demi sehat sampe vaksin ping 4 ,1
8/9/2022 16:51,halolusii,ini efeknya vaksin booster ke 4 kah?? badan gue sakit semua gabisa bobo,0
8/9/2022 16:52,💭, td aku baru vaksin ke-3 dikasi booster 1. terus nanya ke org nya ada booster 2 atau tdk. katanya iya ada dan itu wajib 6 bulan stlh booster 1. aku tu bingung kenapa booster 2 kali? tp ortuku pas itu cuma sekali booster nya. terus bedanya apa? kalo ga booster 2 gapapa?,1
8/9/2022 16:55,eremimi,@convomfs smpe skrg si yg wajib bru vaksin 1-2-booster. gue malah blm prnah denger booster 2 dan gak dikasih tau sm pihak klinik jg wktu itu. dan blm ad anjuran dr pemerintah jg kan buat booster 2? jd gausah yg penting booster 1 udh,1
8/9/2022 16:58,qwerty,RT @convomfs: td aku baru vaksin ke-3 dikasi booster 1. terus nanya ke org nya ada booster 2 atau tdk. katanya iya ada dan itu wajib ,1
8/9/2022 17:50,iam,RT @YoGojekYo: Friends disini ada yg belum vaksin booster 3? Kendalanya dimana kalau belum?,1
8/9/2022 21:07,𝑠𝑣𝑡𝑒𝑛ℎ𝑦𝑝𝑒𝑛,@ariesously @jichancult @caratstalk aku juga blom booster kak tapi katanya standing bisa asal udah 2kali vaksin,1
8/9/2022 22:39,ayi,@rumahsakit_ui halo min kalo vaksin 2 di rsui apa bisa langsung dateng aja tanpa daftar buat booster?,1
8/9/2022 22:50,nn,halo admin mau nanya @contactap2 vaksin booster dibandara buka kapan aja? trs non penumpang boleh vaksin jga ga disitu?,1
8/9/2022 22:52,西斯卡,mjb yg sertif vaksin booster itu pdf atau jpg yah? https://t.co/A7KHfm3Dbz,1
8/9/2022 23:13,baginda lei,@lonjuiny aku juga kmrn tapi tau gak. dia cuma nyoba co doang gadibayar soalnya ngiranya yg standing harus udah vaksin booster pas aku blg gausah dia shock kasian,1
8/9/2022 23:57,__Am,kenapa sih anggota nih selalu bikin ribet udah tau vaksin booster kedua hanya untuk nakes yg bukan nakes malah disuruh vaksin duluan. apa maksutnya. bikin pusing yg bikin laporan aja kan kerjanya jadi dua kali ,1
8/10/2022 0:00,hani gustina,ayo segera booster yaa Ayo vaksin agar Tanah Papua terbebas dari belenggu Covid-19 varian baru yang dinamakan Omicron BA.4 dan BA.5. #OtsusMajukanPapua #PapuaIndonesia https://t.co/kGynxYLqDZ,1
8/10/2022 0:11,BES PEMELI PRENLI (TRUMIN),Jog kalian sudah pada vaksin booster belum? Saya belum baru dua kali vaksin,1
8/10/2022 0:11,babegino,vaksin booster tingkatkan imunitas hingga 2 kali lipat https://t.co/N6z9N1iLpu,1
8/10/2022 0:13,halolusii,gilaa kalo ini rasanya kaya kena covid. mending kmaren gausa ikut vaksin booster kedua ajalah gak resiko.,1
8/10/2022 0:15,Grivzs 🪐,@cnbcindonesia Kemana-mana wajib vaksin booster mereka pada nurut,1
8/10/2022 0:18,DiyanaQomariah,Booster Vaksin ke 3 Bener2 dibikin uring2an malem2 ga bisa tdr nyenyak Kek zombie kata ka aufar Bener aja badan kek pd sakit2 smua tidur ga bisa leluasa https://t.co/PAgtN6WG16,1
8/10/2022 0:20,dudu_mbhek,Kabar tidak menyenangkan pagi ini. 2 orang teman sama2 dosis 2 sinovac tahun 2021 belum pernah booster. Satu orang teman hari ini operasi tumor otak sering kejang sejak vaksin dosis#2. Satu orang lainnya hari ini dirawat di RS trombosit turun drastis. Jaga diri kalian,1
8/10/2022 13:42,Ilham Ketjeh,Puan Maharani mendukung vaksin keempat untuk tenaga kesehatan selain itu Puan juga mengingatkan cakupan booster partama harus ditingkatkan kembali. https://t.co/EdAWw51VwI Puan Presidenku,1
8/10/2022 13:55,Dino🦕,@lwafenderrr Eh aku kurang tau ya tapi kamu coba cek aja tiket vaksin boosternya ada gak di app jaki. Kalau ada langsung cari booster disitu ade aku baru 13 tahun tulisannya tiket vaksin booster belum tersedia gitu kalau gak salah,1
8/10/2022 14:04,Heejin.,Bisa sama bisa gak tapi rata2 kalo booster itu beda biasanya yang lebih tinggi dari vaksin 1 2 nya misal 1 2 sinovac yg ke 3 astra /pfizer 1 2 astra yg ke 3 moderna/pfizer Gitu.. https://t.co/qBEOlayCUv,1
8/10/2022 14:04,riski 🅱️ogor,besok aku mau vaksin booster,1
8/10/2022 14:07,Nid,Lelah banget abis vaksin booster kedua,1
8/10/2022 14:24,adadeh,Bagaimana dengan post vaksin booster 2 alias vaksin dosis 4 aman kan? haha,1
8/10/2022 14:27,titan,Lengan ini pegel abis vaksin second booster vaccine,1
8/10/2022 14:28,detikcom,Meski kasus Covid-19 di Indonesia kembali naik sistem belajar tatap muka masih diberlakukan. Lantas kapan vaksin booster akan diberikan untuk anak-anak? https://t.co/EM1Zu3CsqU,1
