,Date,Username,Komen,Label,clean,case_folding,Tokenizing,Stopword,Hasil
17,8/7/2022 15:33,jelin yg asli ada podongnya lg rbuy,malem malem ceramahin temen yang udah duluan vaksin booster https://t.co/6yUHhjgNCh,1,malem malem ceramahin temen yang udah duluan vaksin booster,malem malem ceramahin temen yang udah duluan vaksin booster,"['malam', 'malam', 'ceramahin', 'teman', 'yang', 'sudah', 'duluan', 'vaksin', 'booster']","['malam', 'malam', 'ceramahin', 'teman', 'duluan', 'vaksin', 'booster']",malam malam ceramahin teman duluan vaksin booster
18,8/7/2022 15:39,𝓒𝓪𝓵𝓵𝓲𝓷' me ay,"Besok aku mau vaksin booster, sakit gak ya?",1,Besok aku mau vaksin booster sakit gak ya,besok aku mau vaksin booster sakit gak ya,"['besok', 'aku', 'mau', 'vaksin', 'booster', 'sakit', 'enggak', 'ya']","['besok', 'vaksin', 'booster', 'sakit', 'ya']",besok vaksin booster sakit ya
19,8/7/2022 15:40,Mifta,"@radenrauf Badan sama pikiran capek, tambah tangan nyeri tadi siang baru vaksin booster. Dah sekarang nggak bisa tidur besok masih kerja pagi ",0,Badan sama pikiran capek tambah tangan nyeri tadi siang baru vaksin booster Dah sekarang nggak bisa tidur besok masih kerja pagi,badan sama pikiran capek tambah tangan nyeri tadi siang baru vaksin booster dah sekarang nggak bisa tidur besok masih kerja pagi,"['badan', 'sama', 'pikiran', 'capek', 'tambah', 'tangan', 'nyeri', 'tadi', 'siang', 'baru', 'vaksin', 'booster', 'deh', 'sekarang', 'enggak', 'bisa', 'tidur', 'besok', 'masih', 'kerja', 'pagi']","['badan', 'pikiran', 'capek', 'tangan', 'nyeri', 'siang', 'vaksin', 'booster', 'deh', 'tidur', 'besok', 'kerja', 'pagi']",badan pikir capek tangan nyeri siang vaksin booster deh tidur besok kerja pagi
20,8/7/2022 15:41,☆*:･NAD 。,sebel banget deh makin lama dapet vaksin booster kan kalau gini caranya,0,sebel banget deh makin lama dapet vaksin booster kan kalau gini caranya,sebel banget deh makin lama dapet vaksin booster kan kalau gini caranya,"['sebel', 'banget', 'deh', 'makin', 'lama', 'dapat', 'vaksin', 'booster', 'kan', 'kalau', 'begini', 'caranya']","['sebel', 'banget', 'deh', 'vaksin', 'booster']",sebel banget deh vaksin booster
21,8/7/2022 15:47,cuma bisa Kadita🧜🏻‍♀️,Siap vaksin booster efeknya bisa makin disayang ayang gak?,1,Siap vaksin booster efeknya bisa makin disayang ayang gak,siap vaksin booster efeknya bisa makin disayang ayang gak,"['siap', 'vaksin', 'booster', 'efeknya', 'bisa', 'makin', 'disayang', 'ayang', 'enggak']","['vaksin', 'booster', 'efeknya', 'disayang', 'ayang']",vaksin booster efek sayang ayang
22,8/7/2022 15:52,✞,"Pagi mau vaksin booster, malemnya booster otak dulu wkwk asli goblok anying https://t.co/U6TTkp7B7f",0,Pagi mau vaksin booster malemnya booster otak dulu wkwk asli goblok anying,pagi mau vaksin booster malemnya booster otak dulu wkwk asli goblok anying,"['pagi', 'mau', 'vaksin', 'booster', 'malemnya', 'booster', 'otak', 'dulu', 'wkwk', 'asli', 'goblok', 'anying']","['pagi', 'vaksin', 'booster', 'malemnya', 'booster', 'otak', 'wkwk', 'asli', 'goblok', 'anying']",pagi vaksin booster malemnya booster otak wkwk asli goblok anying
23,8/7/2022 15:57,Ginger,RT @SyedAkramin: Ambil vaksin dan booster. Kuarantin wajib sudah tak efektif sebab ramai tidak patuh arahan. Ada syarat yang potong gaji,1,Ambil vaksin dan booster Kuarantin wajib sudah tak efektif sebab ramai tidak patuh arahan Ada syarat yang potong gaji,ambil vaksin dan booster kuarantin wajib sudah tak efektif sebab ramai tidak patuh arahan ada syarat yang potong gaji,"['ambil', 'vaksin', 'dan', 'booster', 'kuarantin', 'wajib', 'sudah', 'tak', 'efektif', 'sebab', 'ramai', 'tidak', 'patuh', 'arahan', 'ada', 'syarat', 'yang', 'potong', 'gaji']","['ambil', 'vaksin', 'booster', 'kuarantin', 'wajib', 'efektif', 'ramai', 'patuh', 'arahan', 'syarat', 'potong', 'gaji']",ambil vaksin booster kuarantin wajib efektif ramai patuh arah syarat potong gaji
24,8/7/2022 15:58,미래를 밝게 비추다,"@chitaglorya__ Kalau dapat mau beli makanan kucing sudah habis, sama ongkos mau ke Jakarta untuk vaksin booster Aamiin",1,Kalau dapat mau beli makanan kucing sudah habis sama ongkos mau ke Jakarta untuk vaksin booster Aamiin,kalau dapat mau beli makanan kucing sudah habis sama ongkos mau ke jakarta untuk vaksin booster aamiin,"['kalau', 'dapat', 'mau', 'beli', 'makanan', 'kucing', 'sudah', 'habis', 'sama', 'ongkos', 'mau', 'ke', 'jakarta', 'untuk', 'vaksin', 'booster', 'amin']","['beli', 'makanan', 'kucing', 'habis', 'ongkos', 'jakarta', 'vaksin', 'booster', 'amin']",beli makan kucing habis ongkos jakarta vaksin booster amin
25,8/7/2022 16:01,Putri,"@dontfollow__mee @kindaheavenn @bigichanxxx @jogjamnfs Pdhl bagus loh kampusnya kmrn aku numpang vaksin booster disana dan keliling2 gitu, taman-tamannya cakep",1,Pdhl bagus loh kampusnya kmrn aku numpang vaksin booster disana dan keliling gitu tamantamannya cakep,pdhl bagus loh kampusnya kmrn aku numpang vaksin booster disana dan keliling gitu tamantamannya cakep,"['padahal', 'bagus', 'loh', 'kampusnya', 'kemarin', 'aku', 'numpang', 'vaksin', 'booster', 'disana', 'dan', 'keliling', 'begitu', 'tamantamannya', 'cakep']","['bagus', 'loh', 'kampusnya', 'kemarin', 'numpang', 'vaksin', 'booster', 'disana', 'keliling', 'tamantamannya', 'cakep']",bagus loh kampus kemarin numpang vaksin booster sana keliling tamantamannya cakep
26,8/7/2022 16:11,ella,sakitin aja gapapa aku udah vaksin 2x plus booster hehe,1,sakitin aja gapapa aku udah vaksin x plus booster hehe,sakitin aja gapapa aku udah vaksin x plus booster hehe,"['sakitin', 'saja', 'gapapa', 'aku', 'sudah', 'vaksin', 'kali', 'plus', 'booster', 'hehe']","['sakitin', 'gapapa', 'vaksin', 'kali', 'plus', 'booster', 'hehe']",sakitin gapapa vaksin kali plus booster hehe
27,8/7/2022 16:12,sadid,tangan abis vaksin booster mlh bengkak,1,tangan abis vaksin booster mlh bengkak,tangan abis vaksin booster mlh bengkak,"['tangan', 'habis', 'vaksin', 'booster', 'malah', 'bengkak']","['tangan', 'habis', 'vaksin', 'booster', 'bengkak']",tangan habis vaksin booster bengkak
28,8/7/2022 16:13,Intanaa💜,Aaa besok mau vaksin booster. Semoga antriannya gak banyak biar cepet.,1,Aaa besok mau vaksin booster Semoga antriannya gak banyak biar cepet,aaa besok mau vaksin booster semoga antriannya gak banyak biar cepet,"['aaa', 'besok', 'mau', 'vaksin', 'booster', 'semoga', 'antriannya', 'enggak', 'banyak', 'biar', 'cepat']","['aaa', 'besok', 'vaksin', 'booster', 'semoga', 'antriannya', 'biar', 'cepat']",aaa besok vaksin booster moga antri biar cepat
29,8/7/2022 16:22,نورعتيقة عزيقة,RT @RimauXI: Harapan untuk para pengundi: * Jangan lupa COVID-19 masih ada * Antibody menurun selepas vaksin * Ramai yang tak ambil booster,1,Harapan untuk para pengundi  Jangan lupa COVID masih ada  Antibody menurun selepas vaksin  Ramai yang tak ambil booster,harapan untuk para pengundi  jangan lupa covid masih ada  antibody menurun selepas vaksin  ramai yang tak ambil booster,"['harapan', 'untuk', 'para', 'pengundi', 'jangan', 'lupa', 'covid', 'masih', 'ada', 'antibody', 'menurun', 'selepas', 'vaksin', 'ramai', 'yang', 'tak', 'ambil', 'booster']","['harapan', 'pengundi', 'lupa', 'covid', 'antibody', 'menurun', 'selepas', 'vaksin', 'ramai', 'ambil', 'booster']",harap undi lupa covid antibody turun lepas vaksin ramai ambil booster
30,8/7/2022 16:24,Jack,@woodyforlaxx booster pake Astra Zeneca ga ada respon apa2 aku selama 3x vaksin.,1,booster pake Astra Zeneca ga ada respon apa aku selama x vaksin,booster pake astra zeneca ga ada respon apa aku selama x vaksin,"['booster', 'pakai', 'astra', 'zeneca', 'enggak', 'ada', 'respon', 'apa', 'aku', 'selama', 'kali', 'vaksin']","['booster', 'pakai', 'astra', 'zeneca', 'respon', 'kali', 'vaksin']",booster pakai astra zeneca respon kali vaksin
31,8/7/2022 16:27,𝓒𝓱𝓮𝓻𝓻𝔂 𝓹𝓲𝓮🍒,@woodyforlaxx Aku booster pfizer masyaallah tabarokallah habis vaksin pegel terus malamnya tangan sakit kalau dilurusin hari ketiga baru mendingan,1,Aku booster pfizer masyaallah tabarokallah habis vaksin pegel terus malamnya tangan sakit kalau dilurusin hari ketiga baru mendingan,aku booster pfizer masyaallah tabarokallah habis vaksin pegel terus malamnya tangan sakit kalau dilurusin hari ketiga baru mendingan,"['aku', 'booster', 'pfizer', 'masyaallah', 'tabarokallah', 'habis', 'vaksin', 'pegel', 'terus', 'malamnya', 'tangan', 'sakit', 'kalau', 'dilurusin', 'hari', 'ketiga', 'baru', 'mendingan']","['booster', 'pfizer', 'masyaallah', 'tabarokallah', 'habis', 'vaksin', 'pegel', 'malamnya', 'tangan', 'sakit', 'dilurusin', 'ketiga', 'mendingan']",booster pfizer masyaallah tabarokallah habis vaksin gel malam tangan sakit dilurusin tiga mending
32,8/7/2022 16:27,sasa •ᴗ•🍥 ptd 😽,hei omg gue lupa bsk vaksin booster aaaa malesss,1,hei omg gue lupa bsk vaksin booster aaaa malesss,hei omg gue lupa bsk vaksin booster aaaa malesss,"['hei', 'omg', 'gue', 'lupa', 'besok', 'vaksin', 'booster', 'aaaa', 'malesss']","['hei', 'omg', 'gue', 'lupa', 'besok', 'vaksin', 'booster', 'aaaa', 'malesss']",hei omg gue lupa besok vaksin booster aaaa malesss
33,8/7/2022 16:28,Sara 🪬,Apakah vaksin booster astra mengakibatkan mual dan muntah?,1,Apakah vaksin booster astra mengakibatkan mual dan muntah,apakah vaksin booster astra mengakibatkan mual dan muntah,"['apakah', 'vaksin', 'booster', 'astra', 'mengakibatkan', 'mual', 'dan', 'muntah']","['vaksin', 'booster', 'astra', 'mengakibatkan', 'mual', 'muntah']",vaksin booster astra akibat mual muntah
34,8/7/2022 16:30,yoon,BARU SADAR GUE BELOM VAKSIN BOOSTER wkwk tp gamau vaksin di bekasi,1,BARU SADAR GUE BELOM VAKSIN BOOSTER wkwk tp gamau vaksin di bekasi,baru sadar gue belom vaksin booster wkwk tp gamau vaksin di bekasi,"['baru', 'sadar', 'gue', 'belum', 'vaksin', 'booster', 'wkwk', 'tapi', 'enggak', 'mau', 'vaksin', 'di', 'bekasi']","['sadar', 'gue', 'vaksin', 'booster', 'wkwk', 'vaksin', 'bekasi']",sadar gue vaksin booster wkwk vaksin bekas
35,8/7/2022 16:32,Kazumi Alisa,"Badan gemetar, kayaknya gegara efek booster vaksin kemarin. Tidur dulu deh. ",1,Badan gemetar kayaknya gegara efek booster vaksin kemarin Tidur dulu deh,badan gemetar kayaknya gegara efek booster vaksin kemarin tidur dulu deh,"['badan', 'gemetar', 'kayaknya', 'gegara', 'efek', 'booster', 'vaksin', 'kemarin', 'tidur', 'dulu', 'deh']","['badan', 'gemetar', 'kayaknya', 'gegara', 'efek', 'booster', 'vaksin', 'kemarin', 'tidur', 'deh']",badan gemetar kayak gegara efek booster vaksin kemarin tidur deh
36,8/7/2022 16:32,irene,Vaksin booster mantep bgt efeknya woi :( baru berasa bgt,1,Vaksin booster mantep bgt efeknya woi  baru berasa bgt,vaksin booster mantep bgt efeknya woi  baru berasa bgt,"['vaksin', 'booster', 'mantap', 'banget', 'efeknya', 'woi', 'baru', 'berasa', 'banget']","['vaksin', 'booster', 'mantap', 'banget', 'efeknya', 'woi', 'berasa', 'banget']",vaksin booster mantap banget efek woi asa banget
37,8/7/2022 16:33,tin👉👈,"@huangzzna Jgn nakutin gitu ih, besok w vaksin booster",1,Jgn nakutin gitu ih besok w vaksin booster,jgn nakutin gitu ih besok w vaksin booster,"['jangan', 'menakutkan', 'begitu', 'ih', 'besok', 'gue', 'vaksin', 'booster']","['menakutkan', 'ih', 'besok', 'gue', 'vaksin', 'booster']",takut ih besok gue vaksin booster
38,8/7/2022 16:34,nananinuw,selamat tidur jangan lupa vaksin booster,1,selamat tidur jangan lupa vaksin booster,selamat tidur jangan lupa vaksin booster,"['selamat', 'tidur', 'jangan', 'lupa', 'vaksin', 'booster']","['selamat', 'tidur', 'lupa', 'vaksin', 'booster']",selamat tidur lupa vaksin booster
39,8/7/2022 16:36,anisya🐥,Meriang banget badan gue efek vaksin booster huhu,0,Meriang banget badan gue efek vaksin booster huhu,meriang banget badan gue efek vaksin booster huhu,"['meriang', 'banget', 'badan', 'gue', 'efek', 'vaksin', 'booster', 'huhu']","['meriang', 'banget', 'badan', 'gue', 'efek', 'vaksin', 'booster', 'huhu']",meriang banget badan gue efek vaksin booster huhu
40,8/7/2022 16:39,E!,"abis vaksin booster, puji Tuhan ngga demam tp pegel2 and sakit punggung.",0,abis vaksin booster puji Tuhan ngga demam tp pegel and sakit punggung,abis vaksin booster puji tuhan ngga demam tp pegel and sakit punggung,"['habis', 'vaksin', 'booster', 'puji', 'tuhan', 'enggak', 'demam', 'tapi', 'pegel', 'and', 'sakit', 'punggung']","['habis', 'vaksin', 'booster', 'puji', 'tuhan', 'demam', 'pegel', 'and', 'sakit', 'punggung']",habis vaksin booster puji tuhan demam gel and sakit punggung
41,8/7/2022 16:39,hannah,Ini daftar vaksin booster gampang amat kaya beli cilok Langsung dapet besok pagi pula ,1,Ini daftar vaksin booster gampang amat kaya beli cilok Langsung dapet besok pagi pula,ini daftar vaksin booster gampang amat kaya beli cilok langsung dapet besok pagi pula,"['ini', 'daftar', 'vaksin', 'booster', 'gampang', 'amat', 'kayak', 'beli', 'cilok', 'langsung', 'dapat', 'besok', 'pagi', 'pula']","['daftar', 'vaksin', 'booster', 'gampang', 'kayak', 'beli', 'cilok', 'langsung', 'besok', 'pagi']",daftar vaksin booster gampang kayak beli cilok langsung besok pagi
42,8/7/2022 16:42,klea,"@tcyzie booster tuh vaksin yang ke 3, namanya beda beda",1,booster tuh vaksin yang ke  namanya beda beda,booster tuh vaksin yang ke  namanya beda beda,"['booster', 'tuh', 'vaksin', 'yang', 'ke', 'namanya', 'beda', 'beda']","['booster', 'tuh', 'vaksin', 'namanya', 'beda', 'beda']",booster tuh vaksin nama beda beda
43,8/7/2022 16:52,eri⁷ kinda ia (collage)📚,Abis vaksin booster trus nyeri otot gue kompres ga mempan sakit banget :(( https://t.co/J9Y0TQeWzm,1,Abis vaksin booster trus nyeri otot gue kompres ga mempan sakit banget ,abis vaksin booster trus nyeri otot gue kompres ga mempan sakit banget ,"['habis', 'vaksin', 'booster', 'terus', 'nyeri', 'otot', 'gue', 'kompres', 'enggak', 'mempan', 'sakit', 'banget']","['habis', 'vaksin', 'booster', 'nyeri', 'otot', 'gue', 'kompres', 'mempan', 'sakit', 'banget']",habis vaksin booster nyeri otot gue kompres mempan sakit banget
44,8/7/2022 16:53,Jacques Manon,"Kuat kuat bener orang vaksin AZ dari awal ya, gue nyicipin booster langsung klenger gini.",1,Kuat kuat bener orang vaksin AZ dari awal ya gue nyicipin booster langsung klenger gini,kuat kuat bener orang vaksin az dari awal ya gue nyicipin booster langsung klenger gini,"['kuat', 'kuat', 'benar', 'orang', 'vaksin', 'az', 'dari', 'awal', 'ya', 'gue', 'nyicipin', 'booster', 'langsung', 'klenger', 'begini']","['kuat', 'kuat', 'orang', 'vaksin', 'az', 'ya', 'gue', 'nyicipin', 'booster', 'langsung', 'klenger']",kuat kuat orang vaksin az ya gue nyicipin booster langsung klenger
45,8/7/2022 17:02,Endah,Abis vaksin booster badan pegel semua wkwk,0,Abis vaksin booster badan pegel semua wkwk,abis vaksin booster badan pegel semua wkwk,"['habis', 'vaksin', 'booster', 'badan', 'pegel', 'semua', 'wkwk']","['habis', 'vaksin', 'booster', 'badan', 'pegel', 'wkwk']",habis vaksin booster badan gel wkwk
46,8/7/2022 17:09,Slave of Allah,"@KKMPutrajaya menipu angka golongan tidak menerima vaksin yg mati sebab Covid19, demi nak mempromosikan vaksin booster. Babi yg haram pun sekarang lebih mulia dari doktor-doktor KKM laknatullah. https://t.co/4hZj8YkMmo",0,menipu angka golongan tidak menerima vaksin yg mati sebab Covid demi nak mempromosikan vaksin booster Babi yg haram pun sekarang lebih mulia dari doktordoktor KKM laknatullah,menipu angka golongan tidak menerima vaksin yg mati sebab covid demi nak mempromosikan vaksin booster babi yg haram pun sekarang lebih mulia dari doktordoktor kkm laknatullah,"['menipu', 'angka', 'golongan', 'tidak', 'menerima', 'vaksin', 'yang', 'mati', 'sebab', 'covid', 'demi', 'nak', 'mempromosikan', 'vaksin', 'booster', 'babi', 'yang', 'haram', 'pun', 'sekarang', 'lebih', 'mulia', 'dari', 'doktordoktor', 'kkm', 'laknatullah']","['menipu', 'angka', 'golongan', 'menerima', 'vaksin', 'mati', 'covid', 'nak', 'mempromosikan', 'vaksin', 'booster', 'babi', 'haram', 'mulia', 'doktordoktor', 'kkm', 'laknatullah']",tipu angka golong terima vaksin mati covid nak promosi vaksin booster babi haram mulia doktordoktor kkm laknatullah
47,8/7/2022 17:11,Rabita,"Abis vaksin booster, badan sakt semuaaa ",0,Abis vaksin booster badan sakt semuaaa,abis vaksin booster badan sakt semuaaa,"['habis', 'vaksin', 'booster', 'badan', 'sakt', 'semua']","['habis', 'vaksin', 'booster', 'badan', 'sakt']",habis vaksin booster badan sakt
48,8/7/2022 17:15,An,Ini kayanya efek vaksin booster gue tbtb melow,1,Ini kayanya efek vaksin booster gue tbtb melow,ini kayanya efek vaksin booster gue tbtb melow,"['ini', 'kayanya', 'efek', 'vaksin', 'booster', 'gue', 'tbtb', 'melow']","['kayanya', 'efek', 'vaksin', 'booster', 'gue', 'tbtb', 'melow']",kaya efek vaksin booster gue tbtb melow
49,8/7/2022 17:19,nadoy~,"gabisa tidur gara gara vaksin booster sakit bgt woi mana demam, guling ke kiri dikit ngilu",0,gabisa tidur gara gara vaksin booster sakit bgt woi mana demam guling ke kiri dikit ngilu,gabisa tidur gara gara vaksin booster sakit bgt woi mana demam guling ke kiri dikit ngilu,"['enggak', 'bisa', 'tidur', 'gara', 'gara', 'vaksin', 'booster', 'sakit', 'banget', 'woi', 'mana', 'demam', 'guling', 'ke', 'kiri', 'dikit', 'ngilu']","['tidur', 'gara', 'gara', 'vaksin', 'booster', 'sakit', 'banget', 'woi', 'demam', 'guling', 'kiri', 'dikit', 'ngilu']",tidur gara gara vaksin booster sakit banget woi demam guling kiri dikit ngilu
